City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
290,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,46.29,69,49,4.9,scattered clouds
291,Windhoek,NA,-22.5594,17.0832,64.99,64,12,1.99,few clouds
292,Longyearbyen,SJ,78.2186,15.6401,37.4,75,75,13.8,light snow
293,Tabou,CI,4.423,-7.3528,80.17,81,100,3.11,overcast clouds
294,Narsaq,GL,60.9167,-46.05,28.4,43,90,2.3,overcast clouds
295,Gamba,GA,-2.65,10.0,80.94,77,100,2.42,overcast clouds
296,Nemuro,JP,43.3236,145.575,50.0,62,75,2.3,broken clouds
297,Byron Bay,AU,-28.65,153.6167,69.8,68,0,5.75,clear sky
298,Codrington,AU,-38.2667,141.9667,61.83,63,57,11.86,broken clouds
299,Kaduqli,SD,11.0167,29.7167,101.61,6,83,4.72,broken clouds
300,Pirassununga,BR,-21.9961,-47.4258,59.23,97,3,5.86,clear sky
301,Barrie,CA,44.4001,-79.6663,36.0,93,1,1.14,clear sky
302,Aloleng,PH,16.1307,119.7824,83.08,64,52,13.73,broken clouds
303,Charcas,MX,23.1333,-101.1167,48.15,88,42,8.14,scattered clouds
304,Coquimbo,CL,-29.9533,-71.3436,55.4,88,75,8.05,broken clouds
305,Aklavik,CA,68.2191,-135.0107,41.0,52,98,4.61,overcast clouds
306,Ciechanow,PL,52.8814,20.62,61.0,100,0,3.44,clear sky
307,Pisco,PE,-13.7,-76.2167,66.2,82,34,4.61,scattered clouds
308,San Bartolome De Tirajana,ES,27.9248,-15.5733,66.2,63,20,17.27,few clouds
309,Norman Wells,CA,65.282,-126.8329,39.2,60,1,6.91,clear sky
310,Shenavan,AM,40.0549,43.9288,71.6,35,0,5.75,clear sky
311,Port Moresby,PG,-9.4431,147.1797,79.63,79,73,1.9,broken clouds
312,Poum,NC,-20.2333,164.0167,79.12,76,96,7.25,overcast clouds
313,Zaysan,KZ,47.4667,84.8667,59.41,47,95,4.09,overcast clouds
314,Bahia Blanca,AR,-38.7196,-62.2724,68.38,74,45,14.03,scattered clouds
315,Tura,IN,25.5198,90.2201,92.57,21,2,6.6,clear sky
316,Esperance,AU,-33.8667,121.9,68.0,64,75,14.97,broken clouds
317,Chambas,CU,22.1928,-78.9136,77.0,94,20,5.75,few clouds
318,Vostok,RU,46.4856,135.8833,50.13,47,100,10.56,overcast clouds
319,Ouadda,CF,8.0777,22.4007,91.35,36,95,6.24,overcast clouds
320,Alanya,TR,36.5438,31.9998,77.0,53,75,4.61,light rain
321,Taoudenni,ML,22.6783,-3.9836,81.66,8,62,17.4,broken clouds
322,Kuhdasht,IR,33.535,47.6061,75.2,22,0,2.3,clear sky
323,Glenwood Springs,US,39.5505,-107.3248,32.0,54,16,6.91,few clouds
324,Muros,ES,42.7762,-9.0603,55.99,92,71,4.45,broken clouds
