City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
256,Lingao,CN,82.08,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
257,Srandakan,ID,84.42,scattered clouds,-7.9386,110.2506,Puri Brata
271,Sambava,MG,80.11,moderate rain,-14.2667,50.1667,Melrose
272,Kananga,CD,79.47,overcast clouds,-5.8958,22.4178,Guest House Wood Land
277,Barkhan,PK,84.33,overcast clouds,29.8977,69.5256,Sardar
278,Yarada,IN,87.87,clear sky,17.65,83.2667,Jeevan
280,Kirakira,SB,81.41,broken clouds,-10.4544,161.9205,SanBiz Lodge
293,Tabou,CI,80.17,overcast clouds,4.423,-7.3528,hotêl doufoulougou
295,Gamba,GA,80.94,overcast clouds,-2.65,10.0,
302,Aloleng,PH,83.08,broken clouds,16.1307,119.7824,Agno Umbrella Rocks
311,Port Moresby,PG,79.63,broken clouds,-9.4431,147.1797,Lamana Hotel
312,Poum,NC,79.12,overcast clouds,-20.2333,164.0167,Gîte kajeon
317,Chambas,CU,77.0,few clouds,22.1928,-78.9136,
320,Alanya,TR,77.0,light rain,36.5438,31.9998,Panorama Hotel
321,Taoudenni,ML,81.66,broken clouds,22.6783,-3.9836,
322,Kuhdasht,IR,75.2,clear sky,33.535,47.6061,فروشگاه زنبیل
327,Binucayan,PH,87.67,overcast clouds,8.25,125.7167,
333,Patan,NP,78.8,few clouds,27.6667,85.3333,Hotel Goodwill
334,Weligama,LK,86.31,broken clouds,5.9667,80.4167,Weligama Bay Resort
340,Samarai,PG,82.54,overcast clouds,-10.6167,150.6667,Nuli Sapi
345,Harper,LR,80.74,overcast clouds,4.375,-7.7169,Screensaver
351,Dongying,CN,82.35,broken clouds,37.4564,118.4856,Wanda Realm
352,Rongcheng,CN,75.38,broken clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
353,Salcedo,PH,85.01,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
356,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
371,Cayenne,GF,79.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
378,Wamba,NG,84.92,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
379,Pochutla,MX,77.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
387,Biak,ID,81.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
389,Zhoucheng,CN,79.18,clear sky,35.9122,116.3117,Yingbin Restaurant
390,Bambous Virieux,MU,84.2,broken clouds,-20.3428,57.7575,Casa Tia Villa
396,Akdepe,TM,78.8,overcast clouds,42.0551,59.3788,Мой дом
405,Beruwala,LK,86.09,broken clouds,6.4788,79.9828,The Palms Hotel
415,Honolulu,US,75.2,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
417,Eyl,SO,88.48,few clouds,7.9803,49.8164,Amiin Hotel
418,Mount Isa,AU,87.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
419,Domoni,KM,83.34,few clouds,-12.2569,44.5319,Al Djadid
420,Dingle,PH,83.5,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
423,Moratuwa,LK,89.6,scattered clouds,6.773,79.8816,Sa Mansion By Yoho
424,Kikwit,CD,78.49,overcast clouds,-5.041,18.8162,Guest L'Amour
427,Boueni,YT,86.0,broken clouds,-12.9025,45.0761,The feet in water
430,Kalianget,ID,84.87,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
431,Bosaso,SO,86.0,few clouds,11.2842,49.1816,Red Sea Hotel
434,Faya,SA,77.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
439,Buraydah,SA,86.0,clear sky,26.326,43.975,فندق راحة السلام
443,Grand Gaube,MU,84.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
447,Niamey,NE,87.8,overcast clouds,13.5137,2.1098,Soluxe Hotel Niamey
448,Khuzdar,PK,83.41,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
