City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Shawnee,US,2021-04-18 23:33:55,39.05,-95.7669,61.0,31,20,9.22
224,Martapura,ID,2021-04-18 23:33:55,-3.4167,114.85,73.4,94,20,4.61
225,Souillac,MU,2021-04-18 23:33:55,-20.5167,57.5167,78.8,89,75,12.66
226,Husavik,IS,2021-04-18 23:33:56,66.0449,-17.3389,37.4,52,40,24.16
227,Bilma,NE,2021-04-18 23:33:56,18.6853,12.9164,84.97,7,46,7.72
228,Pandamatenga,BW,2021-04-18 23:33:57,-18.5278,25.627,56.19,79,0,6.08
229,Vikhorevka,RU,2021-04-18 23:33:57,56.1201,101.1636,23.0,58,82,8.95
230,Gamba,GA,2021-04-18 23:33:57,-2.65,10.0,77.43,89,100,3.87
231,Shelburne,CA,2021-04-18 23:30:11,44.0787,-80.2041,51.01,57,1,9.22
232,Fairbanks,US,2021-04-18 23:33:58,64.8378,-147.7164,60.8,20,20,4.61
233,Nakama,JP,2021-04-18 23:33:58,33.8167,130.7,57.99,82,20,3.44
234,Urzhum,RU,2021-04-18 23:33:59,57.1141,49.9996,30.25,68,93,12.68
235,Bonoua,CI,2021-04-18 23:33:59,5.2741,-3.595,84.2,84,40,4.61
236,Provideniya,RU,2021-04-18 23:34:00,64.3833,-173.3,30.2,69,0,4.32
237,Pisco,PE,2021-04-18 23:34:00,-13.7,-76.2167,68.0,83,0,13.8
238,Talnakh,RU,2021-04-18 23:34:01,69.4865,88.3972,-13.76,90,67,2.1
239,San Ignacio,BZ,2021-04-18 23:34:01,17.1561,-89.0714,95.0,52,20,6.91
240,Kalmar,SE,2021-04-18 23:34:02,56.6616,16.3616,41.0,81,94,6.91
241,Ginir,ET,2021-04-18 23:34:02,7.1333,40.7,57.27,92,100,2.17
242,Sassandra,CI,2021-04-18 23:34:02,4.95,-6.0833,79.7,83,97,5.59
243,Bonfim,BR,2021-04-18 23:34:03,3.0833,-59.95,80.58,60,90,7.76
244,Yantal,RU,2021-04-18 23:34:03,56.8471,105.2542,26.28,67,25,5.41
245,Bodden Town,KY,2021-04-18 23:34:04,19.2833,-81.25,82.4,78,40,12.66
246,Dale,US,2021-04-18 23:34:04,38.1689,-86.99,57.2,67,90,8.05
247,Devgarh,IN,2021-04-18 23:34:04,25.5333,73.9,76.55,23,21,7.2
248,Katangli,RU,2021-04-18 23:34:05,51.7102,143.2326,31.06,98,100,24.85
249,Bulgan,MN,2021-04-18 23:34:05,48.8125,103.5347,37.11,49,2,2.59
250,Saint-Joseph,RE,2021-04-18 23:34:06,-21.3667,55.6167,75.2,78,90,13.8
251,Longyearbyen,SJ,2021-04-18 23:34:06,78.2186,15.6401,28.4,93,90,13.8
252,Saskylakh,RU,2021-04-18 23:34:06,71.9167,114.0833,4.62,91,97,9.44
253,Kaeo,NZ,2021-04-18 23:34:07,-35.1,173.7833,65.3,52,74,5.12
254,Leirvik,NO,2021-04-18 23:34:07,59.7798,5.5005,44.01,69,2,5.84
255,Mareeba,AU,2021-04-18 23:34:08,-17.0,145.4333,75.2,100,90,10.36
256,Margate,GB,2021-04-18 23:34:08,51.3813,1.3862,43.0,84,31,1.99
